variable,H,p_value,epsilon2,efecto,p_adj,significativo
deaths_direct,1894.3667840806554,0.0,0.017480707435527276,pequeño,0.0,True
injuries_direct,3947.9485505413327,0.0,0.03643060792792526,pequeño,0.0,True
deaths_indirect,1045.5764047606012,2.554913382317681e-219,0.009648297988913816,despreciable,5.109826764635362e-219,True
injuries_indirect,82.71987336555925,4.649324928115815e-14,0.0007633167544736895,despreciable,4.649324928115815e-14,True
damage_property,43225.373992896464,0.0,0.49826946078888384,grande,0.0,True
damage_crops,1820.1755907044812,0.0,0.02098136746938954,pequeño,0.0,True
