variable,H,p_value,epsilon2,efecto,p_adj,significativo
deaths_direct,12182.340957099275,0.0,0.11241951697595419,moderado,0.0,True
injuries_direct,706.7287542877385,4.523055721382393e-109,0.006521743683733111,despreciable,9.046111442764785e-109,True
deaths_indirect,6713.952103777706,0.0,0.06195683203781392,moderado,0.0,True
injuries_indirect,76.86951387780097,0.12983566271751762,0.0007093573928648639,despreciable,0.12983566271751762,False
damage_property,12549.316798016256,0.0,0.14466571521800473,grande,0.0,True
damage_crops,5652.831314836887,0.0,0.0651638229681017,moderado,0.0,True
magnitude,1764.3562687409928,0.0,0.09041952896740597,moderado,0.0,True
tor_length,737.3394641629253,5.25298736647958e-126,0.08824072093859806,moderado,1.575896209943874e-125,True
tor_width,1442.0303690648436,8.890561349652357e-273,0.17257424234859306,grande,3.556224539860943e-272,True
