grupo_1,grupo_2,p_adj,significativo
IOWA,WYOMING,1.0,False
IOWA,WISCONSIN,1.0,False
IOWA,WASHINGTON,1.0,False
IOWA,VIRGINIA,1.0,False
IOWA,UTAH,1.0,False
IDAHO,WYOMING,1.0,False
IDAHO,WISCONSIN,1.0,False
IDAHO,WASHINGTON,1.0,False
IDAHO,UTAH,1.0,False
IDAHO,SOUTH DAKOTA,1.0,False
IDAHO,RHODE ISLAND,1.0,False
IDAHO,PUERTO RICO,1.0,False
IDAHO,OREGON,1.0,False
KANSAS,RHODE ISLAND,1.0,False
KANSAS,PUERTO RICO,1.0,False
KANSAS,OREGON,1.0,False
KANSAS,NORTH DAKOTA,1.0,False
KANSAS,NEW MEXICO,1.0,False
KANSAS,NEW HAMPSHIRE,1.0,False
IDAHO,NORTH DAKOTA,1.0,False
IDAHO,NORTH CAROLINA,1.0,False
IDAHO,NEW MEXICO,1.0,False
IDAHO,NEBRASKA,1.0,False
IDAHO,MONTANA,1.0,False
IDAHO,MINNESOTA,1.0,False
IDAHO,MASSACHUSETTS,1.0,False
KENTUCKY,NEW HAMPSHIRE,1.0,False
KENTUCKY,MISSOURI,1.0,False
KENTUCKY,MICHIGAN,1.0,False
KENTUCKY,MASSACHUSETTS,1.0,False
KENTUCKY,MARYLAND,1.0,False
KENTUCKY,LOUISIANA,1.0,False
KANSAS,WYOMING,1.0,False
KANSAS,WASHINGTON,1.0,False
KANSAS,UTAH,1.0,False
IDAHO,KANSAS,1.0,False
IDAHO,IOWA,1.0,False
GEORGIA,WEST VIRGINIA,1.0,False
GEORGIA,VIRGINIA,1.0,False
GEORGIA,TENNESSEE,1.0,False
GEORGIA,RHODE ISLAND,1.0,False
GEORGIA,PUERTO RICO,1.0,False
KENTUCKY,UTAH,1.0,False
KENTUCKY,TENNESSEE,1.0,False
KENTUCKY,SOUTH CAROLINA,1.0,False
KENTUCKY,RHODE ISLAND,1.0,False
KENTUCKY,PUERTO RICO,1.0,False
KENTUCKY,PENNSYLVANIA,1.0,False
KENTUCKY,OREGON,1.0,False
KENTUCKY,OKLAHOMA,1.0,False
KENTUCKY,OHIO,1.0,False
KENTUCKY,NEW YORK,1.0,False
KENTUCKY,NEW JERSEY,1.0,False
LOUISIANA,NEW JERSEY,1.0,False
LOUISIANA,NEW HAMPSHIRE,1.0,False
LOUISIANA,MISSOURI,1.0,False
LOUISIANA,MICHIGAN,1.0,False
LOUISIANA,MASSACHUSETTS,1.0,False
LOUISIANA,MARYLAND,1.0,False
KENTUCKY,WYOMING,1.0,False
KENTUCKY,WEST VIRGINIA,1.0,False
KENTUCKY,VIRGINIA,1.0,False
GEORGIA,PENNSYLVANIA,1.0,False
GEORGIA,OREGON,1.0,False
GEORGIA,OHIO,1.0,False
GEORGIA,NEW YORK,1.0,False
GEORGIA,NEW JERSEY,1.0,False
GEORGIA,NEW HAMPSHIRE,1.0,False
GEORGIA,MISSISSIPPI,1.0,False
GEORGIA,MICHIGAN,1.0,False
LOUISIANA,VIRGINIA,1.0,False
LOUISIANA,TENNESSEE,1.0,False
LOUISIANA,SOUTH CAROLINA,1.0,False
LOUISIANA,RHODE ISLAND,1.0,False
LOUISIANA,PUERTO RICO,1.0,False
LOUISIANA,PENNSYLVANIA,1.0,False
LOUISIANA,OREGON,1.0,False
LOUISIANA,OKLAHOMA,1.0,False
LOUISIANA,OHIO,1.0,False
LOUISIANA,NEW YORK,1.0,False
GEORGIA,LOUISIANA,1.0,False
GEORGIA,KENTUCKY,1.0,False
FLORIDA,WYOMING,1.0,False
FLORIDA,WISCONSIN,1.0,False
FLORIDA,WEST VIRGINIA,1.0,False
FLORIDA,WASHINGTON,1.0,False
FLORIDA,VIRGINIA,1.0,False
FLORIDA,UTAH,1.0,False
MARYLAND,NORTH DAKOTA,1.0,False
MARYLAND,NORTH CAROLINA,1.0,False
MARYLAND,NEW YORK,1.0,False
MARYLAND,NEW JERSEY,1.0,False
MARYLAND,NEW HAMPSHIRE,1.0,False
MARYLAND,NEBRASKA,1.0,False
MARYLAND,MISSOURI,1.0,False
MARYLAND,MINNESOTA,1.0,False
MARYLAND,MICHIGAN,1.0,False
MARYLAND,MASSACHUSETTS,1.0,False
LOUISIANA,WYOMING,1.0,False
LOUISIANA,WEST VIRGINIA,1.0,False
MARYLAND,WYOMING,1.0,False
MARYLAND,WISCONSIN,1.0,False
MARYLAND,WEST VIRGINIA,1.0,False
MARYLAND,WASHINGTON,1.0,False
MARYLAND,VIRGINIA,1.0,False
MARYLAND,UTAH,1.0,False
MARYLAND,TEXAS,1.0,False
MARYLAND,TENNESSEE,1.0,False
MARYLAND,SOUTH CAROLINA,1.0,False
MARYLAND,RHODE ISLAND,1.0,False
MARYLAND,PUERTO RICO,1.0,False
MARYLAND,PENNSYLVANIA,1.0,False
MARYLAND,OREGON,1.0,False
MARYLAND,OKLAHOMA,1.0,False
MARYLAND,OHIO,1.0,False
MASSACHUSETTS,PENNSYLVANIA,1.0,False
MASSACHUSETTS,OREGON,1.0,False
MASSACHUSETTS,OKLAHOMA,1.0,False
MASSACHUSETTS,OHIO,1.0,False
MASSACHUSETTS,NORTH DAKOTA,1.0,False
MASSACHUSETTS,NORTH CAROLINA,1.0,False
MASSACHUSETTS,NEW YORK,1.0,False
MASSACHUSETTS,NEW MEXICO,1.0,False
MASSACHUSETTS,NEW JERSEY,1.0,False
MASSACHUSETTS,NEW HAMPSHIRE,1.0,False
MASSACHUSETTS,NEBRASKA,1.0,False
MASSACHUSETTS,MONTANA,1.0,False
MASSACHUSETTS,MISSOURI,1.0,False
MASSACHUSETTS,MINNESOTA,1.0,False
MASSACHUSETTS,MICHIGAN,1.0,False
MICHIGAN,MISSOURI,1.0,False
MICHIGAN,MISSISSIPPI,1.0,False
MASSACHUSETTS,WYOMING,1.0,False
MASSACHUSETTS,WISCONSIN,1.0,False
MASSACHUSETTS,WEST VIRGINIA,1.0,False
MASSACHUSETTS,WASHINGTON,1.0,False
MASSACHUSETTS,VIRGINIA,1.0,False
MASSACHUSETTS,UTAH,1.0,False
MASSACHUSETTS,TEXAS,1.0,False
MASSACHUSETTS,SOUTH DAKOTA,1.0,False
MASSACHUSETTS,SOUTH CAROLINA,1.0,False
MASSACHUSETTS,RHODE ISLAND,1.0,False
MASSACHUSETTS,PUERTO RICO,1.0,False
FLORIDA,SOUTH CAROLINA,1.0,False
FLORIDA,RHODE ISLAND,1.0,False
FLORIDA,PUERTO RICO,1.0,False
FLORIDA,OREGON,1.0,False
FLORIDA,NORTH DAKOTA,1.0,False
FLORIDA,NORTH CAROLINA,1.0,False
FLORIDA,NEW YORK,1.0,False
FLORIDA,NEW HAMPSHIRE,1.0,False
FLORIDA,NEBRASKA,1.0,False
MICHIGAN,TENNESSEE,1.0,False
MICHIGAN,SOUTH CAROLINA,1.0,False
MICHIGAN,RHODE ISLAND,1.0,False
MICHIGAN,PUERTO RICO,1.0,False
MICHIGAN,PENNSYLVANIA,1.0,False
MICHIGAN,OREGON,1.0,False
MICHIGAN,OKLAHOMA,1.0,False
MICHIGAN,OHIO,1.0,False
MICHIGAN,NEW YORK,1.0,False
MICHIGAN,NEW JERSEY,1.0,False
MICHIGAN,NEW HAMPSHIRE,1.0,False
FLORIDA,MONTANA,1.0,False
FLORIDA,MINNESOTA,1.0,False
FLORIDA,MASSACHUSETTS,1.0,False
FLORIDA,MARYLAND,1.0,False
FLORIDA,IOWA,1.0,False
FLORIDA,ILLINOIS,1.0,False
FLORIDA,IDAHO,1.0,False
MINNESOTA,NORTH CAROLINA,1.0,False
MINNESOTA,NEW HAMPSHIRE,1.0,False
MINNESOTA,NEBRASKA,1.0,False
MINNESOTA,MONTANA,1.0,False
MICHIGAN,WYOMING,1.0,False
MICHIGAN,WEST VIRGINIA,1.0,False
MICHIGAN,VIRGINIA,1.0,False
MICHIGAN,UTAH,1.0,False
MICHIGAN,TEXAS,1.0,False
DELAWARE,WEST VIRGINIA,1.0,False
DELAWARE,VIRGINIA,1.0,False
DELAWARE,TEXAS,1.0,False
DELAWARE,TENNESSEE,1.0,False
DELAWARE,SOUTH CAROLINA,1.0,False
DELAWARE,RHODE ISLAND,1.0,False
DELAWARE,PENNSYLVANIA,1.0,False
DELAWARE,OKLAHOMA,1.0,False
DELAWARE,OHIO,1.0,False
MINNESOTA,WISCONSIN,1.0,False
MINNESOTA,WASHINGTON,1.0,False
MINNESOTA,UTAH,1.0,False
MINNESOTA,RHODE ISLAND,1.0,False
MINNESOTA,PUERTO RICO,1.0,False
MINNESOTA,OREGON,1.0,False
MINNESOTA,NORTH DAKOTA,1.0,False
DELAWARE,NEW YORK,1.0,False
DELAWARE,NEW JERSEY,1.0,False
DELAWARE,NEW HAMPSHIRE,1.0,False
DELAWARE,MISSOURI,1.0,False
DELAWARE,MISSISSIPPI,1.0,False
DELAWARE,MICHIGAN,1.0,False
DELAWARE,MARYLAND,1.0,False
DELAWARE,LOUISIANA,1.0,False
DELAWARE,KENTUCKY,1.0,False
MISSISSIPPI,RHODE ISLAND,1.0,False
MISSISSIPPI,NEW JERSEY,1.0,False
MISSISSIPPI,NEW HAMPSHIRE,1.0,False
MINNESOTA,WYOMING,1.0,False
DELAWARE,INDIANA,1.0,False
DELAWARE,GEORGIA,1.0,False
CONNECTICUT,WYOMING,1.0,False
CONNECTICUT,WISCONSIN,1.0,False
CONNECTICUT,WEST VIRGINIA,1.0,False
CONNECTICUT,WASHINGTON,1.0,False
CONNECTICUT,VIRGINIA,1.0,False
CONNECTICUT,UTAH,1.0,False
CONNECTICUT,TEXAS,1.0,False
CONNECTICUT,TENNESSEE,1.0,False
CONNECTICUT,SOUTH CAROLINA,1.0,False
MISSOURI,NEW YORK,1.0,False
MISSOURI,NEW JERSEY,1.0,False
MISSOURI,NEW HAMPSHIRE,1.0,False
MISSISSIPPI,WEST VIRGINIA,1.0,False
MISSISSIPPI,TENNESSEE,1.0,False
MISSOURI,WEST VIRGINIA,1.0,False
MISSOURI,WASHINGTON,1.0,False
MISSOURI,VIRGINIA,1.0,False
MISSOURI,UTAH,1.0,False
MISSOURI,TEXAS,1.0,False
MISSOURI,SOUTH CAROLINA,1.0,False
MISSOURI,RHODE ISLAND,1.0,False
MISSOURI,PUERTO RICO,1.0,False
MISSOURI,PENNSYLVANIA,1.0,False
MISSOURI,OREGON,1.0,False
MISSOURI,OKLAHOMA,1.0,False
MISSOURI,OHIO,1.0,False
MONTANA,RHODE ISLAND,1.0,False
MONTANA,PUERTO RICO,1.0,False
MONTANA,OREGON,1.0,False
MONTANA,NORTH DAKOTA,1.0,False
MONTANA,NORTH CAROLINA,1.0,False
MONTANA,NEW MEXICO,1.0,False
MONTANA,NEW HAMPSHIRE,1.0,False
MONTANA,NEBRASKA,1.0,False
MISSOURI,WYOMING,1.0,False
MISSOURI,WISCONSIN,1.0,False
CONNECTICUT,RHODE ISLAND,1.0,False
CONNECTICUT,PUERTO RICO,1.0,False
CONNECTICUT,PENNSYLVANIA,1.0,False
CONNECTICUT,OREGON,1.0,False
CONNECTICUT,OKLAHOMA,1.0,False
CONNECTICUT,OHIO,1.0,False
CONNECTICUT,NORTH DAKOTA,1.0,False
CONNECTICUT,NORTH CAROLINA,1.0,False
CONNECTICUT,NEW YORK,1.0,False
CONNECTICUT,NEW MEXICO,1.0,False
CONNECTICUT,NEW JERSEY,1.0,False
CONNECTICUT,NEW HAMPSHIRE,1.0,False
CONNECTICUT,NEBRASKA,1.0,False
CONNECTICUT,MONTANA,1.0,False
CONNECTICUT,MISSOURI,1.0,False
CONNECTICUT,MISSISSIPPI,1.0,False
NEBRASKA,NORTH DAKOTA,1.0,False
NEBRASKA,NORTH CAROLINA,1.0,False
NEBRASKA,NEW HAMPSHIRE,1.0,False
MONTANA,WYOMING,1.0,False
MONTANA,WISCONSIN,1.0,False
MONTANA,WASHINGTON,1.0,False
MONTANA,UTAH,1.0,False
MONTANA,SOUTH DAKOTA,1.0,False
CONNECTICUT,MINNESOTA,1.0,False
CONNECTICUT,MICHIGAN,1.0,False
CONNECTICUT,MASSACHUSETTS,1.0,False
CONNECTICUT,MARYLAND,1.0,False
CONNECTICUT,LOUISIANA,1.0,False
CONNECTICUT,KENTUCKY,1.0,False
CONNECTICUT,KANSAS,1.0,False
CONNECTICUT,IOWA,1.0,False
CONNECTICUT,INDIANA,1.0,False
CONNECTICUT,ILLINOIS,1.0,False
CONNECTICUT,IDAHO,1.0,False
CONNECTICUT,GEORGIA,1.0,False
CONNECTICUT,FLORIDA,1.0,False
CONNECTICUT,DELAWARE,1.0,False
NEW HAMPSHIRE,NEW JERSEY,1.0,False
NEBRASKA,WYOMING,1.0,False
NEBRASKA,WISCONSIN,1.0,False
NEBRASKA,WASHINGTON,1.0,False
NEBRASKA,UTAH,1.0,False
NEBRASKA,RHODE ISLAND,1.0,False
NEBRASKA,PUERTO RICO,1.0,False
NEBRASKA,OREGON,1.0,False
NEW HAMPSHIRE,VIRGINIA,1.0,False
NEW HAMPSHIRE,UTAH,1.0,False
NEW HAMPSHIRE,TEXAS,1.0,False
NEW HAMPSHIRE,TENNESSEE,1.0,False
NEW HAMPSHIRE,SOUTH CAROLINA,1.0,False
NEW HAMPSHIRE,RHODE ISLAND,1.0,False
NEW HAMPSHIRE,PUERTO RICO,1.0,False
NEW HAMPSHIRE,PENNSYLVANIA,1.0,False
NEW HAMPSHIRE,OREGON,1.0,False
NEW HAMPSHIRE,OKLAHOMA,1.0,False
NEW HAMPSHIRE,OHIO,1.0,False
NEW HAMPSHIRE,NORTH DAKOTA,1.0,False
NEW HAMPSHIRE,NORTH CAROLINA,1.0,False
NEW HAMPSHIRE,NEW YORK,1.0,False
NEW HAMPSHIRE,NEW MEXICO,1.0,False
NEW JERSEY,SOUTH CAROLINA,1.0,False
NEW JERSEY,RHODE ISLAND,1.0,False
NEW JERSEY,PUERTO RICO,1.0,False
NEW JERSEY,PENNSYLVANIA,1.0,False
NEW JERSEY,OREGON,1.0,False
NEW JERSEY,OKLAHOMA,1.0,False
NEW JERSEY,OHIO,1.0,False
NEW JERSEY,NEW YORK,1.0,False
NEW HAMPSHIRE,WYOMING,1.0,False
NEW HAMPSHIRE,WISCONSIN,1.0,False
NEW HAMPSHIRE,WEST VIRGINIA,1.0,False
NEW HAMPSHIRE,WASHINGTON,1.0,False
COLORADO,WASHINGTON,1.0,False
COLORADO,UTAH,1.0,False
COLORADO,SOUTH DAKOTA,1.0,False
COLORADO,RHODE ISLAND,1.0,False
COLORADO,PUERTO RICO,1.0,False
COLORADO,OREGON,1.0,False
COLORADO,NORTH DAKOTA,1.0,False
COLORADO,NEW MEXICO,1.0,False
COLORADO,NEW HAMPSHIRE,1.0,False
COLORADO,MONTANA,1.0,False
COLORADO,MASSACHUSETTS,1.0,False
COLORADO,KANSAS,1.0,False
NEW MEXICO,PUERTO RICO,1.0,False
NEW MEXICO,OREGON,1.0,False
NEW MEXICO,NORTH DAKOTA,1.0,False
NEW JERSEY,WYOMING,1.0,False
NEW JERSEY,WEST VIRGINIA,1.0,False
NEW JERSEY,VIRGINIA,1.0,False
NEW JERSEY,TEXAS,1.0,False
NEW JERSEY,TENNESSEE,1.0,False
COLORADO,IDAHO,1.0,False
CALIFORNIA,WYOMING,1.0,False
CALIFORNIA,WASHINGTON,1.0,False
CALIFORNIA,UTAH,1.0,False
CALIFORNIA,SOUTH DAKOTA,1.0,False
NEW YORK,OREGON,1.0,False
NEW YORK,OKLAHOMA,1.0,False
NEW YORK,OHIO,1.0,False
NEW YORK,NORTH CAROLINA,1.0,False
NEW MEXICO,WASHINGTON,1.0,False
NEW MEXICO,UTAH,1.0,False
NEW MEXICO,SOUTH DAKOTA,1.0,False
NEW MEXICO,RHODE ISLAND,1.0,False
CALIFORNIA,RHODE ISLAND,1.0,False
CALIFORNIA,PUERTO RICO,1.0,False
CALIFORNIA,OREGON,1.0,False
CALIFORNIA,NORTH DAKOTA,1.0,False
CALIFORNIA,NEW MEXICO,1.0,False
CALIFORNIA,NEW HAMPSHIRE,1.0,False
CALIFORNIA,NEBRASKA,1.0,False
CALIFORNIA,MONTANA,1.0,False
NORTH CAROLINA,NORTH DAKOTA,1.0,False
NEW YORK,WYOMING,1.0,False
NEW YORK,WISCONSIN,1.0,False
NEW YORK,WEST VIRGINIA,1.0,False
NEW YORK,WASHINGTON,1.0,False
NEW YORK,VIRGINIA,1.0,False
NEW YORK,UTAH,1.0,False
NEW YORK,TEXAS,1.0,False
NEW YORK,TENNESSEE,1.0,False
NEW YORK,SOUTH CAROLINA,1.0,False
NEW YORK,RHODE ISLAND,1.0,False
NEW YORK,PUERTO RICO,1.0,False
NEW YORK,PENNSYLVANIA,1.0,False
CALIFORNIA,MINNESOTA,1.0,False
CALIFORNIA,MASSACHUSETTS,1.0,False
CALIFORNIA,KANSAS,1.0,False
CALIFORNIA,IDAHO,1.0,False
CALIFORNIA,CONNECTICUT,1.0,False
NORTH CAROLINA,WYOMING,1.0,False
NORTH CAROLINA,WISCONSIN,1.0,False
NORTH CAROLINA,WEST VIRGINIA,1.0,False
NORTH CAROLINA,WASHINGTON,1.0,False
NORTH CAROLINA,VIRGINIA,1.0,False
NORTH CAROLINA,UTAH,1.0,False
NORTH CAROLINA,SOUTH CAROLINA,1.0,False
NORTH CAROLINA,RHODE ISLAND,1.0,False
NORTH CAROLINA,PUERTO RICO,1.0,False
NORTH CAROLINA,OREGON,1.0,False
CALIFORNIA,COLORADO,1.0,False
ARKANSAS,WEST VIRGINIA,1.0,False
ARKANSAS,TENNESSEE,1.0,False
ARKANSAS,RHODE ISLAND,1.0,False
OHIO,OREGON,1.0,False
OHIO,OKLAHOMA,1.0,False
NORTH DAKOTA,WYOMING,1.0,False
NORTH DAKOTA,WISCONSIN,1.0,False
NORTH DAKOTA,WASHINGTON,1.0,False
NORTH DAKOTA,UTAH,1.0,False
NORTH DAKOTA,RHODE ISLAND,1.0,False
NORTH DAKOTA,PUERTO RICO,1.0,False
NORTH DAKOTA,OREGON,1.0,False
ARKANSAS,NEW JERSEY,1.0,False
ARKANSAS,NEW HAMPSHIRE,1.0,False
ARKANSAS,MISSISSIPPI,1.0,False
ARKANSAS,MICHIGAN,1.0,False
ARKANSAS,LOUISIANA,1.0,False
OKLAHOMA,PUERTO RICO,1.0,False
OKLAHOMA,PENNSYLVANIA,1.0,False
OKLAHOMA,OREGON,1.0,False
OHIO,WYOMING,1.0,False
OHIO,WEST VIRGINIA,1.0,False
OHIO,VIRGINIA,1.0,False
OHIO,UTAH,1.0,False
OHIO,TEXAS,1.0,False
OHIO,TENNESSEE,1.0,False
OHIO,SOUTH CAROLINA,1.0,False
OHIO,RHODE ISLAND,1.0,False
OHIO,PUERTO RICO,1.0,False
OHIO,PENNSYLVANIA,1.0,False
ARKANSAS,KENTUCKY,1.0,False
ARKANSAS,GEORGIA,1.0,False
ARKANSAS,DELAWARE,1.0,False
ARKANSAS,CONNECTICUT,1.0,False
ARIZONA,WASHINGTON,1.0,False
OREGON,SOUTH DAKOTA,1.0,False
OREGON,SOUTH CAROLINA,1.0,False
OREGON,RHODE ISLAND,1.0,False
OREGON,PUERTO RICO,1.0,False
OREGON,PENNSYLVANIA,1.0,False
OKLAHOMA,WYOMING,1.0,False
OKLAHOMA,WEST VIRGINIA,1.0,False
OKLAHOMA,VIRGINIA,1.0,False
OKLAHOMA,UTAH,1.0,False
OKLAHOMA,TEXAS,1.0,False
OKLAHOMA,SOUTH CAROLINA,1.0,False
OKLAHOMA,RHODE ISLAND,1.0,False
PENNSYLVANIA,VIRGINIA,1.0,False
PENNSYLVANIA,UTAH,1.0,False
PENNSYLVANIA,TEXAS,1.0,False
PENNSYLVANIA,TENNESSEE,1.0,False
PENNSYLVANIA,SOUTH CAROLINA,1.0,False
PENNSYLVANIA,RHODE ISLAND,1.0,False
PENNSYLVANIA,PUERTO RICO,1.0,False
OREGON,WYOMING,1.0,False
OREGON,WISCONSIN,1.0,False
OREGON,WEST VIRGINIA,1.0,False
OREGON,WASHINGTON,1.0,False
OREGON,VIRGINIA,1.0,False
OREGON,UTAH,1.0,False
OREGON,TEXAS,1.0,False
OREGON,TENNESSEE,1.0,False
RHODE ISLAND,SOUTH CAROLINA,1.0,False
PUERTO RICO,WYOMING,1.0,False
PUERTO RICO,WISCONSIN,1.0,False
PUERTO RICO,WEST VIRGINIA,1.0,False
PUERTO RICO,WASHINGTON,1.0,False
PUERTO RICO,VIRGINIA,1.0,False
PUERTO RICO,UTAH,1.0,False
PUERTO RICO,TEXAS,1.0,False
PUERTO RICO,TENNESSEE,1.0,False
PUERTO RICO,SOUTH DAKOTA,1.0,False
PUERTO RICO,SOUTH CAROLINA,1.0,False
PUERTO RICO,RHODE ISLAND,1.0,False
PENNSYLVANIA,WYOMING,1.0,False
PENNSYLVANIA,WISCONSIN,1.0,False
PENNSYLVANIA,WEST VIRGINIA,1.0,False
ARIZONA,UTAH,1.0,False
ARIZONA,SOUTH DAKOTA,1.0,False
ARIZONA,PUERTO RICO,1.0,False
ARIZONA,OREGON,1.0,False
ARIZONA,NEW MEXICO,1.0,False
SOUTH CAROLINA,WEST VIRGINIA,1.0,False
SOUTH CAROLINA,WASHINGTON,1.0,False
SOUTH CAROLINA,VIRGINIA,1.0,False
SOUTH CAROLINA,UTAH,1.0,False
SOUTH CAROLINA,TEXAS,1.0,False
RHODE ISLAND,WYOMING,1.0,False
RHODE ISLAND,WISCONSIN,1.0,False
RHODE ISLAND,WEST VIRGINIA,1.0,False
RHODE ISLAND,WASHINGTON,1.0,False
RHODE ISLAND,VIRGINIA,1.0,False
RHODE ISLAND,UTAH,1.0,False
RHODE ISLAND,TEXAS,1.0,False
RHODE ISLAND,TENNESSEE,1.0,False
RHODE ISLAND,SOUTH DAKOTA,1.0,False
ARIZONA,MONTANA,1.0,False
ARIZONA,MASSACHUSETTS,1.0,False
ARIZONA,KANSAS,1.0,False
ARIZONA,IDAHO,1.0,False
ARIZONA,COLORADO,1.0,False
ARIZONA,CALIFORNIA,1.0,False
ALABAMA,WEST VIRGINIA,1.0,False
ALABAMA,TENNESSEE,1.0,False
TENNESSEE,WEST VIRGINIA,1.0,False
TENNESSEE,VIRGINIA,1.0,False
SOUTH DAKOTA,WASHINGTON,1.0,False
SOUTH DAKOTA,UTAH,1.0,False
SOUTH CAROLINA,WYOMING,1.0,False
SOUTH CAROLINA,WISCONSIN,1.0,False
ALABAMA,RHODE ISLAND,1.0,False
ALABAMA,NEW JERSEY,1.0,False
ALABAMA,NEW HAMPSHIRE,1.0,False
WASHINGTON,WISCONSIN,1.0,False
WASHINGTON,WYOMING,1.0,False
WEST VIRGINIA,WISCONSIN,1.0,False
WEST VIRGINIA,WYOMING,1.0,False
WISCONSIN,WYOMING,1.0,False
ALABAMA,ARKANSAS,1.0,False
